source_name,Day of c_date,is_new,Number of Records
sumo,"October 27, 2014",16,1291
sumo,"October 20, 2014",13,1294
sumo,"October 13, 2014",12,1301
sumo,"October 6, 2014",12,1306
sumo,"September 29, 2014",10,1304
sumo,"September 22, 2014",22,1303
sumo,"September 15, 2014",13,1295
sumo,"September 8, 2014",17,1296
sumo,"September 1, 2014",16,1289
sumo,"August 25, 2014",17,1287
sumo,"August 18, 2014",21,1295
sumo,"August 11, 2014",20,1288
sumo,"August 4, 2014",23,1282
sumo,"July 28, 2014",17,1270
sumo,"July 21, 2014",22,1260
sumo,"July 14, 2014",22,1248
sumo,"July 7, 2014",16,1240
sumo,"June 30, 2014",20,1241
sumo,"June 23, 2014",14,1227
sumo,"June 16, 2014",27,1220
sumo,"June 9, 2014",35,1199
sumo,"June 2, 2014",24,1177
sumo,"May 26, 2014",21,1163
sumo,"May 19, 2014",28,1156
sumo,"May 12, 2014",23,1137
sumo,"May 5, 2014",31,1125
sumo,"April 28, 2014",20,1101
sumo,"April 21, 2014",19,1087
sumo,"April 14, 2014",18,1081
sumo,"April 7, 2014",19,1072
sumo,"March 31, 2014",20,1066
sumo,"March 24, 2014",21,1056
sumo,"March 17, 2014",13,1041
sumo,"March 10, 2014",11,1035
sumo,"March 3, 2014",10,1033
sumo,"February 24, 2014",15,1031
sumo,"February 17, 2014",18,1028
sumo,"February 10, 2014",16,1012
sumo,"February 3, 2014",17,1004
sumo,"January 27, 2014",15,996
sumo,"January 20, 2014",4,990
sumo,"January 13, 2014",15,992
sumo,"January 6, 2014",11,984
sumo,"December 30, 2013",9,979
sumo,"December 23, 2013",21,973
sumo,"December 16, 2013",18,962
sumo,"December 9, 2013",10,954
sumo,"December 2, 2013",10,951
reps,"October 27, 2014",1,521
reps,"October 20, 2014",0,519
reps,"October 13, 2014",0,519
reps,"October 6, 2014",0,519
reps,"September 29, 2014",0,519
reps,"September 22, 2014",0,519
reps,"September 15, 2014",2,519
reps,"September 8, 2014",6,514
reps,"September 1, 2014",1,504
reps,"August 25, 2014",0,503
reps,"August 18, 2014",0,503
reps,"August 11, 2014",0,503
reps,"August 4, 2014",0,503
reps,"July 28, 2014",0,503
reps,"July 21, 2014",0,503
reps,"July 14, 2014",0,503
reps,"July 7, 2014",0,503
reps,"June 30, 2014",0,503
reps,"June 23, 2014",0,503
reps,"June 16, 2014",0,503
reps,"June 9, 2014",2,503
reps,"June 2, 2014",0,499
reps,"May 26, 2014",2,499
reps,"May 19, 2014",0,497
reps,"May 12, 2014",0,497
reps,"May 5, 2014",2,495
reps,"April 28, 2014",3,493
reps,"April 21, 2014",0,486
reps,"April 14, 2014",0,486
reps,"April 7, 2014",0,486
reps,"March 31, 2014",0,486
reps,"March 24, 2014",0,486
reps,"March 17, 2014",0,486
reps,"March 10, 2014",1,486
reps,"March 3, 2014",0,483
reps,"February 24, 2014",6,483
reps,"February 17, 2014",0,475
reps,"February 10, 2014",0,475
reps,"February 3, 2014",0,475
reps,"January 27, 2014",0,475
reps,"January 20, 2014",0,475
reps,"January 13, 2014",7,475
reps,"January 6, 2014",204,465
github,"October 27, 2014",0,4067
github,"October 20, 2014",0,4120
github,"October 13, 2014",0,4187
github,"October 6, 2014",0,4240
github,"September 29, 2014",0,4298
github,"September 22, 2014",0,4370
github,"September 15, 2014",30,4420
github,"September 8, 2014",18,4423
github,"September 1, 2014",28,4441
github,"August 25, 2014",22,4439
github,"August 18, 2014",24,4460
github,"August 11, 2014",32,4468
github,"August 4, 2014",19,4462
github,"July 28, 2014",23,4480
github,"July 21, 2014",20,4492
github,"July 14, 2014",19,4507
github,"July 7, 2014",20,4524
github,"June 30, 2014",20,4521
github,"June 23, 2014",17,4528
github,"June 16, 2014",28,4539
github,"June 9, 2014",37,4545
github,"June 2, 2014",42,4544
github,"May 26, 2014",39,4521
github,"May 19, 2014",30,4489
github,"May 12, 2014",31,4472
github,"May 5, 2014",43,4461
github,"April 28, 2014",37,4441
github,"April 21, 2014",34,4417
github,"April 14, 2014",53,4414
github,"April 7, 2014",37,4403
github,"March 31, 2014",33,4391
github,"March 24, 2014",42,4360
github,"March 17, 2014",52,4320
github,"March 10, 2014",34,4289
github,"March 3, 2014",34,4272
github,"February 24, 2014",42,4254
github,"February 17, 2014",45,4339
github,"February 10, 2014",44,4379
github,"February 3, 2014",50,4397
github,"January 27, 2014",55,4389
github,"January 20, 2014",47,4394
github,"January 13, 2014",45,4359
github,"January 6, 2014",24,4347
github,"December 30, 2013",16,4338
github,"December 23, 2013",37,4314
github,"December 16, 2013",36,4262
github,"December 9, 2013",37,4206
github,"December 2, 2013",24,4154
bugzilla,"October 27, 2014",25,4412
bugzilla,"October 20, 2014",23,4398
bugzilla,"October 13, 2014",22,4389
bugzilla,"October 6, 2014",25,4377
bugzilla,"September 29, 2014",17,4349
bugzilla,"September 22, 2014",18,4349
bugzilla,"September 15, 2014",21,4350
bugzilla,"September 8, 2014",28,4344
bugzilla,"September 1, 2014",14,4311
bugzilla,"August 25, 2014",23,4305
bugzilla,"August 18, 2014",17,4303
bugzilla,"August 11, 2014",15,4282
bugzilla,"August 4, 2014",21,4276
bugzilla,"July 28, 2014",31,4263
bugzilla,"July 21, 2014",15,4245
bugzilla,"July 14, 2014",16,4229
bugzilla,"July 7, 2014",20,4226
bugzilla,"June 30, 2014",19,4194
bugzilla,"June 23, 2014",36,4177
bugzilla,"June 16, 2014",23,4148
bugzilla,"June 9, 2014",18,4123
bugzilla,"June 2, 2014",21,4111
bugzilla,"May 26, 2014",19,4105
bugzilla,"May 19, 2014",20,4099
bugzilla,"May 12, 2014",22,4077
bugzilla,"May 5, 2014",25,4060
bugzilla,"April 28, 2014",26,4049
bugzilla,"April 21, 2014",15,4028
bugzilla,"April 14, 2014",16,4027
bugzilla,"April 7, 2014",12,4028
bugzilla,"March 31, 2014",23,4022
bugzilla,"March 24, 2014",15,4000
bugzilla,"March 17, 2014",12,3990
bugzilla,"March 10, 2014",17,3984
bugzilla,"March 3, 2014",16,3971
bugzilla,"February 24, 2014",24,3960
bugzilla,"February 17, 2014",17,3947
bugzilla,"February 10, 2014",17,3922
bugzilla,"February 3, 2014",20,3897
bugzilla,"January 27, 2014",23,3869
bugzilla,"January 20, 2014",19,3856
bugzilla,"January 13, 2014",10,3825
bugzilla,"January 6, 2014",13,3819
bugzilla,"December 30, 2013",13,3808
bugzilla,"December 23, 2013",19,3805
bugzilla,"December 16, 2013",20,3802
bugzilla,"December 9, 2013",29,3786
bugzilla,"December 2, 2013",24,3762
