Measure Names,team_name,Day of c_date,is_new,Number of Records
No Measure Value,unclaimed,"October 27, 2014",5,3783
No Measure Value,unclaimed,"October 20, 2014",9,3822
No Measure Value,unclaimed,"October 13, 2014",6,3858
No Measure Value,unclaimed,"October 6, 2014",8,3892
No Measure Value,unclaimed,"September 29, 2014",6,3926
No Measure Value,unclaimed,"September 22, 2014",2,3976
No Measure Value,unclaimed,"September 15, 2014",39,4013
No Measure Value,unclaimed,"September 8, 2014",31,3991
No Measure Value,unclaimed,"September 1, 2014",24,3985
No Measure Value,unclaimed,"August 25, 2014",27,3984
No Measure Value,unclaimed,"August 18, 2014",24,3994
No Measure Value,unclaimed,"August 11, 2014",29,3997
No Measure Value,unclaimed,"August 4, 2014",23,3995
No Measure Value,unclaimed,"July 28, 2014",26,4002
No Measure Value,unclaimed,"July 21, 2014",18,4009
No Measure Value,unclaimed,"July 14, 2014",21,4019
No Measure Value,unclaimed,"July 7, 2014",20,4026
No Measure Value,unclaimed,"June 30, 2014",23,4013
No Measure Value,unclaimed,"June 23, 2014",31,4018
No Measure Value,unclaimed,"June 16, 2014",29,4012
No Measure Value,unclaimed,"June 9, 2014",34,4006
No Measure Value,unclaimed,"June 2, 2014",40,4004
No Measure Value,unclaimed,"May 26, 2014",37,3978
No Measure Value,unclaimed,"May 19, 2014",30,3957
No Measure Value,unclaimed,"May 12, 2014",32,3939
No Measure Value,unclaimed,"May 5, 2014",39,3930
No Measure Value,unclaimed,"April 28, 2014",41,3922
No Measure Value,unclaimed,"April 21, 2014",37,3897
No Measure Value,unclaimed,"April 14, 2014",30,3880
No Measure Value,unclaimed,"April 7, 2014",29,3890
No Measure Value,unclaimed,"March 31, 2014",29,3897
No Measure Value,unclaimed,"March 24, 2014",34,3876
No Measure Value,unclaimed,"March 17, 2014",41,3860
No Measure Value,unclaimed,"March 10, 2014",34,3839
No Measure Value,unclaimed,"March 3, 2014",32,3822
No Measure Value,unclaimed,"February 24, 2014",41,3801
No Measure Value,unclaimed,"February 17, 2014",41,3777
No Measure Value,unclaimed,"February 10, 2014",42,3750
No Measure Value,unclaimed,"February 3, 2014",46,3714
No Measure Value,unclaimed,"January 27, 2014",51,3686
No Measure Value,unclaimed,"January 20, 2014",39,3667
No Measure Value,unclaimed,"January 13, 2014",38,3639
No Measure Value,unclaimed,"January 6, 2014",27,3623
No Measure Value,unclaimed,"December 30, 2013",14,3611
No Measure Value,unclaimed,"December 23, 2013",32,3596
No Measure Value,unclaimed,"December 16, 2013",38,3566
No Measure Value,unclaimed,"December 9, 2013",30,3526
No Measure Value,unclaimed,"December 2, 2013",29,3497
No Measure Value,Sumo,"October 27, 2014",16,1291
No Measure Value,Sumo,"October 20, 2014",13,1294
No Measure Value,Sumo,"October 13, 2014",12,1301
